Gene	ORF 	Plate	Row	Column
CIT2	YCR005C	2	9	15
UBX7	YBR273C	2	9	16
	YCR001W	2	9	17
HSM3	YBR272C	2	9	18
	YCL076W	2	9	19
	YBR271W	2	9	20
	YCL075W	2	9	21
BIT2	YBR270C	2	9	22
	YCL074W	2	9	23
HIS3	YOR202W	2	9	24
HIS3	YOR202W	2	10	1
	YDL038C	2	10	2
	YDL157C	2	10	3
BSC1	YDL037C	2	10	4
	YDL156W	2	10	5
	YDL036C	2	10	6
CLB3	YDL155W	2	10	7
GPR1	YDL035C	2	10	8
MSH5	YDL154W	2	10	9
	YDL034W	2	10	10
ATG9	YDL149W	2	10	11
SLM3	YDL033C	2	10	12
	YDL146W	2	10	13
	YDL027C	2	10	14
	YDL144C	2	10	15
	YDL026W	2	10	16
CRD1	YDL142C	2	10	17
	YDL025C	2	10	18
RGT2	YDL138W	2	10	19
DIA3	YDL024C	2	10	20
ARF2	YDL137W	2	10	21
SRF4	YDL023C	2	10	22
RPL35B	YDL136W	2	10	23
HIS3	YOR202W	2	10	24
HIS3	YOR202W	2	11	1
VBA2	YBR293W	2	11	2
PMP1	YCR024C-A	2	11	3
	YBR292C	2	11	4
	YCR023C	2	11	5
CTP1	YBR291C	2	11	6
	YCR022C	2	11	7
BSD2	YBR290W	2	11	8
HSP30	YCR021C	2	11	9
SNF5	YBR289W	2	11	10
MAK31	YCR020C-A	2	11	11
APM3	YBR288C	2	11	12
PET18	YCR020C	2	11	13
ZSP1	YBR287W	2	11	14
MAK32	YCR019W	2	11	15
APE3	YBR286W	2	11	16
CWH43	YCR017C	2	11	17
	YBR285W	2	11	18
	YCR016W	2	11	19
	YBR284W	2	11	20
	YCR015C	2	11	21
SSH1	YBR283C	2	11	22
POL4	YCR014C	2	11	23
HIS3	YOR202W	2	11	24
HIS3	YOR202W	2	12	1
MCH1	YDL054C	2	12	2
	YDL173W	2	12	3
PBP4	YDL053C	2	12	4
	YDL172C	2	12	5
SIR2	YDL042C	2	12	6
GLT1	YDL171C	2	12	7
SLC1	YDL052C	2	12	8
UGA3	YDL170W	2	12	9
LHP1	YDL051W	2	12	10
UGX2	YDL169C	2	12	11
STP4	YDL048C	2	12	12
SFA1	YDL168W	2	12	13
	YDL050C	2	12	14
NRP1	YDL167C	2	12	15
NPC2	YDL046W	2	12	16
	YDL162C	2	12	17
	YDL041W	2	12	18
ENT1	YDL161W	2	12	19
NAT1	YDL040C	2	12	20
DHH1	YDL160C	2	12	21
PRM7	YDL039C	2	12	22
STE7	YDL159W	2	12	23
HIS3	YOR202W	2	12	24
HIS3	YOR202W	2	13	1
	YCL006C	2	13	2
PHO87	YCR037C	2	13	3
	YCL002C	2	13	4
RBK1	YCR036W	2	13	5
	YCL001W-A	2	13	6
FEN1	YCR034W	2	13	7
RER1	YCL001W	2	13	8
SNT1	YCR033W	2	13	9
DAN3	YBR301W	2	13	10
BPH1	YCR032W	2	13	11
	YBR300C	2	13	12
RPS14A	YCR031C	2	13	13
MAL31	YBR298C	2	13	14
SYP1	YCR030C	2	13	15
MAL33	YBR297W	2	13	16
RIM1	YCR028C-A	2	13	17
PHO89	YBR296C	2	13	18
RHB1	YCR027C	2	13	19
PCA1	YBR295W	2	13	20
NPP1	YCR026C	2	13	21
SUL1	YBR294W	2	13	22
	YCR025C	2	13	23
HIS3	YOR202W	2	13	24
HIS3	YOR202W	2	14	1
VAM6	YDL077C	2	14	2
RPL41A	YDL184C	2	14	3
RXT3	YDL076C	2	14	4
	YDL183C	2	14	5
BRE1	YDL074C	2	14	6
LYS20	YDL182W	2	14	7
